timestamp,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,
09:50.4,1,14.006,177.412,1075.297,687,682,VALID_DATA,枣1
10:22.5,1,146.662,303.45,265.353,677,672,VALID_DATA,枣1
10:42.2,1,3.806,236.231,993.591,687,682,VALID_DATA,枣2
10:46.6,1,168.412,238.875,201.102,677,672,VALID_DATA,枣2
11:59.6,1,51.619,426.769,304.557,672,667,VALID_DATA,枣3
12:04.0,1,121.95,297.094,-119.972,662,657,VALID_DATA,枣3
12:45.8,1,-22.575,361.031,840.92,682,677,VALID_DATA,枣4
12:48.1,1,55.931,369.6,282.837,677,672,VALID_DATA,枣4
23:39.3,1,-74.588,444.45,616.465,672,667,VALID_DATA,枣5
23:42.2,1,-24.394,359.438,153.791,662,657,VALID_DATA,枣5
24:34.7,1,-42.938,436.8,402.144,682,677,VALID_DATA,枣6
24:39.5,1,43.612,219.169,12.645,672,667,VALID_DATA,枣6
25:09.0,1,33.263,405.731,764.902,662,657,VALID_DATA,枣7
25:13.8,1,134.944,413.944,127.957,652,647,VALID_DATA,枣7
25:52.6,1,-4.125,372.731,901.783,667,662,VALID_DATA,枣8
25:55.3,1,141.806,449.794,208.302,657,652,VALID_DATA,枣8
26:19.3,1,13.575,384.262,843.34,667,662,VALID_DATA,枣9
26:25.8,1,161.287,393.3,11.041,657,652,VALID_DATA,枣9
27:37.9,1,32.212,400.837,810.7,652,647,VALID_DATA,枣10
27:42.6,1,139.556,403.969,81.373,642,637,VALID_DATA,枣10
28:03.4,1,3.263,378.281,841.585,667,662,VALID_DATA,枣11
28:08.1,1,76.162,345.356,-59.593,657,652,VALID_DATA,枣11
28:55.2,1,28.312,393.45,869.597,667,662,VALID_DATA,枣12
29:01.5,1,179.494,502.312,-50.033,657,652,VALID_DATA,枣12
29:26.6,1,30.656,429.244,721.765,667,662,VALID_DATA,枣13
29:31.9,1,107.606,324.769,-88.602,657,652,VALID_DATA,枣13
30:18.5,1,131.456,249.844,-116.1,657,652,VALID_DATA,枣14
30:29.1,1,117.094,217.444,-103.183,647,642,VALID_DATA,枣14
31:44.0,1,-3.3,357.731,889.713,677,672,VALID_DATA,枣15
31:52.3,1,82.35,434.062,244.511,667,662,VALID_DATA,枣15
32:38.4,1,-22.087,346.069,915.093,672,667,VALID_DATA,枣16
32:42.0,1,13.406,442.931,395.549,662,657,VALID_DATA,枣16
33:03.7,1,74.138,471.844,539.267,667,662,VALID_DATA,枣17
33:08.1,1,216.675,376.481,-208.241,657,652,VALID_DATA,枣17
33:34.5,1,30.131,553.369,449.031,667,662,VALID_DATA,枣18
33:39.0,1,-41.212,467.4,-252.406,657,652,VALID_DATA,枣18
34:07.1,1,57.45,359.944,805.558,667,662,VALID_DATA,枣19
34:14.2,1,160.631,333.619,-8.561,657,652,VALID_DATA,枣19
35:03.3,1,-11.794,359.681,858.828,662,657,VALID_DATA,枣20
35:07.1,1,22.706,450.919,128.26,652,647,VALID_DATA,枣20
36:43.3,1,34.669,444.544,590.298,657,652,VALID_DATA,枣21
36:48.3,1,93.506,336.806,-12.342,647,642,VALID_DATA,枣21
37:01.6,1,187.35,391.969,-21.629,657,652,VALID_DATA,枣22
37:06.5,1,206.55,263.025,-206.547,647,642,VALID_DATA,枣22
37:38.6,1,48.975,370.744,844.066,652,647,VALID_DATA,枣23
37:46.5,1,104.756,423.225,221.612,642,637,VALID_DATA,枣23
38:11.8,1,57.337,357.394,884.752,672,667,VALID_DATA,枣24
38:19.1,1,134.081,471.806,257.458,662,657,VALID_DATA,枣24
39:03.4,1,67.031,401.794,948.61,667,662,VALID_DATA,枣25
39:11.4,1,118.369,501.094,613.561,657,652,VALID_DATA,枣25
39:28.6,1,48.281,310.706,980.282,662,657,VALID_DATA,枣26
39:38.2,1,138.131,419.55,274.942,652,647,VALID_DATA,枣26
40:31.9,1,28.163,327.881,941.108,667,662,VALID_DATA,枣27
40:38.1,1,150.131,399.225,113.589,657,652,VALID_DATA,枣27
41:01.0,1,68.906,409.988,643.266,672,667,VALID_DATA,枣28
41:11.5,1,197.531,332.738,11.041,662,657,VALID_DATA,枣28
41:46.2,1,55.05,425.719,725.546,667,662,VALID_DATA,枣29
41:51.6,1,124.312,389.831,-77.349,657,652,VALID_DATA,枣29
42:28.3,1,105.844,448.519,758.035,652,647,VALID_DATA,枣30
42:33.8,1,229.65,492.262,147.68,642,637,VALID_DATA,枣30
43:45.3,1,110.925,270,1053.426,662,657,VALID_DATA,枣31
44:03.2,1,202.106,467.119,754.011,652,647,VALID_DATA,枣31
44:18.9,1,68.044,368.044,907.984,667,662,VALID_DATA,枣32
44:25.6,1,195.525,462.075,138.787,657,652,VALID_DATA,枣32
44:47.1,1,66,341.531,901.359,667,662,VALID_DATA,枣33
44:52.9,1,163.294,314.663,114.859,657,652,VALID_DATA,枣33
45:21.2,1,71.906,421.631,727.27,672,667,VALID_DATA,枣34
45:31.4,1,133.387,349.688,5.566,662,657,VALID_DATA,枣34
46:07.9,1,178.5,390.094,454.053,662,657,VALID_DATA,枣35
46:14.9,1,393.731,157.95,-174.512,652,647,VALID_DATA,枣35
46:47.2,1,125.306,455.175,777.304,677,672,VALID_DATA,枣36
